learnerID,sitesVisited,step,node,pr(rr),pr(fr),pr(sr),rr,fr,sr,ratingValue,nodeValue
1,4,2,0,0.238,0.877,1,0.094940186,0.378814697,0.120147705,1,0.545752902
1,4,2,1,0.238,0.877,1,0.094940186,0.378814697,0.120147705,1,0.495974658
1,4,2,2,0.238,0.877,1,0.094940186,0.378814697,0.120147705,1,0.464834743
1,4,2,3,0.238,0.877,1,0.094940186,0.378814697,0.120147705,1,0.394588693
1,4,2,4,0.238,0.877,1,0.094940186,0.378814697,0.120147705,1,0.645871522
1,4,2,5,0.238,0.877,1,0.094940186,0.378814697,0.120147705,1,0.462402225
1,4,2,6,0.238,0.877,1,0.094940186,0.378814697,0.120147705,1,0.639743206
1,4,2,7,0.238,0.877,1,0.094940186,0.378814697,0.120147705,1,0.475922522
1,4,2,8,0.238,0.877,1,0.094940186,0.378814697,0.120147705,1,0.487309769
1,4,2,9,0.238,0.877,1,0.094940186,0.378814697,0.120147705,1,0.560135488
2,8,3,0,0.201,0.881,1,0.098388672,0.156311035,0.717987061,4,0.571222479
2,8,3,1,0.201,0.881,1,0.098388672,0.156311035,0.717987061,4,0.733850434
2,8,3,2,0.201,0.881,1,0.098388672,0.156311035,0.717987061,4,0.726092375
2,8,3,3,0.201,0.881,1,0.098388672,0.156311035,0.717987061,4,0.631866491
2,8,3,4,0.201,0.881,1,0.098388672,0.156311035,0.717987061,4,0.584101093
2,8,3,5,0.201,0.881,1,0.098388672,0.156311035,0.717987061,4,0.725007242
2,8,3,6,0.201,0.881,1,0.098388672,0.156311035,0.717987061,4,0.775653769
2,8,3,7,0.201,0.881,1,0.098388672,0.156311035,0.717987061,4,0.714852941
2,8,3,8,0.201,0.881,1,0.098388672,0.156311035,0.717987061,4,0.717941845
2,8,3,9,0.201,0.881,1,0.098388672,0.156311035,0.717987061,4,0.612999025
3,10,4,0,0.215,0.875,1,0.058013916,0.153137207,0.422027588,1,0.332611257
3,10,4,1,0.215,0.875,1,0.058013916,0.153137207,0.422027588,1,0.413804644
3,10,4,2,0.215,0.875,1,0.058013916,0.153137207,0.422027588,1,0.430106445
3,10,4,3,0.215,0.875,1,0.058013916,0.153137207,0.422027588,1,0.367632254
3,10,4,4,0.215,0.875,1,0.058013916,0.153137207,0.422027588,1,0.483269223
3,10,4,5,0.215,0.875,1,0.058013916,0.153137207,0.422027588,1,0.406544074
3,10,4,6,0.215,0.875,1,0.058013916,0.153137207,0.422027588,1,0.519550648
3,10,4,7,0.215,0.875,1,0.058013916,0.153137207,0.422027588,1,0.399434172
3,10,4,8,0.215,0.875,1,0.058013916,0.153137207,0.422027588,1,0.444117794
3,10,4,9,0.215,0.875,1,0.058013916,0.153137207,0.422027588,1,0.519017795
3,10,7,0,0.215,0.875,1,0.068664551,0.431335449,0.759490967,3,0.626873459
3,10,7,1,0.215,0.875,1,0.068664551,0.431335449,0.759490967,3,0.49954435
3,10,7,2,0.215,0.875,1,0.068664551,0.431335449,0.759490967,3,0.494741516
3,10,7,3,0.215,0.875,1,0.068664551,0.431335449,0.759490967,3,0.475559537
3,10,7,4,0.215,0.875,1,0.068664551,0.431335449,0.759490967,3,0.694455809
3,10,7,5,0.215,0.875,1,0.068664551,0.431335449,0.759490967,3,0.602711726
3,10,7,6,0.215,0.875,1,0.068664551,0.431335449,0.759490967,3,0.653733303
3,10,7,7,0.215,0.875,1,0.068664551,0.431335449,0.759490967,3,0.615184186
3,10,7,8,0.215,0.875,1,0.068664551,0.431335449,0.759490967,3,0.675285631
3,10,7,9,0.215,0.875,1,0.068664551,0.431335449,0.759490967,3,0.629893177
4,13,3,0,0.229,0.865,1,0.176239014,0.773620605,0.463867188,4,0.611782757
4,13,3,1,0.229,0.865,1,0.176239014,0.773620605,0.463867188,4,0.73563528
4,13,3,2,0.229,0.865,1,0.176239014,0.773620605,0.463867188,4,0.741045761
4,13,3,3,0.229,0.865,1,0.176239014,0.773620605,0.463867188,4,0.672351912
4,13,3,4,0.229,0.865,1,0.176239014,0.773620605,0.463867188,4,0.608393237
4,13,3,5,0.229,0.865,1,0.176239014,0.773620605,0.463867188,4,0.795161992
4,13,3,6,0.229,0.865,1,0.176239014,0.773620605,0.463867188,4,0.782648817
4,13,3,7,0.229,0.865,1,0.176239014,0.773620605,0.463867188,4,0.784483773
4,13,3,8,0.229,0.865,1,0.176239014,0.773620605,0.463867188,4,0.811929776
4,13,3,9,0.229,0.865,1,0.176239014,0.773620605,0.463867188,4,0.64787787
4,13,8,0,0.229,0.865,1,0.120574951,0.235015869,0.395385742,1,0.423900415
4,13,8,1,0.229,0.865,1,0.120574951,0.235015869,0.395385742,1,0.541833708
4,13,8,2,0.229,0.865,1,0.120574951,0.235015869,0.395385742,1,0.452437023
4,13,8,3,0.229,0.865,1,0.120574951,0.235015869,0.395385742,1,0.570144038
4,13,8,4,0.229,0.865,1,0.120574951,0.235015869,0.395385742,1,0.394912253
4,13,8,5,0.229,0.865,1,0.120574951,0.235015869,0.395385742,1,0.508956043
4,13,8,6,0.229,0.865,1,0.120574951,0.235015869,0.395385742,1,0.494069715
4,13,8,7,0.229,0.865,1,0.120574951,0.235015869,0.395385742,1,0.454822543
4,13,8,8,0.229,0.865,1,0.120574951,0.235015869,0.395385742,1,0.571270971
4,13,8,9,0.229,0.865,1,0.120574951,0.235015869,0.395385742,1,0.555969051
5,9,1,0,0.22,0.871,1,0.035614014,0.098693848,0.004669189,4,0.66838836
5,9,1,1,0.22,0.871,1,0.035614014,0.098693848,0.004669189,4,0.660033546
5,9,1,2,0.22,0.871,1,0.035614014,0.098693848,0.004669189,4,0.707734447
5,9,1,3,0.22,0.871,1,0.035614014,0.098693848,0.004669189,4,0.567004538
5,9,1,4,0.22,0.871,1,0.035614014,0.098693848,0.004669189,4,0.674043173
5,9,1,5,0.22,0.871,1,0.035614014,0.098693848,0.004669189,4,0.716528698
5,9,1,6,0.22,0.871,1,0.035614014,0.098693848,0.004669189,4,0.715685062
5,9,1,7,0.22,0.871,1,0.035614014,0.098693848,0.004669189,4,0.717382339
5,9,1,8,0.22,0.871,1,0.035614014,0.098693848,0.004669189,4,0.687584312
5,9,1,9,0.22,0.871,1,0.035614014,0.098693848,0.004669189,4,0.563739558
5,9,3,0,0.22,0.871,1,0.183380127,0.769012451,0.930755615,4,0.822495567
5,9,3,1,0.22,0.871,1,0.183380127,0.769012451,0.930755615,4,0.820691198
5,9,3,2,0.22,0.871,1,0.183380127,0.769012451,0.930755615,4,0.847187086
5,9,3,3,0.22,0.871,1,0.183380127,0.769012451,0.930755615,4,0.746367777
5,9,3,4,0.22,0.871,1,0.183380127,0.769012451,0.930755615,4,0.827786188
5,9,3,5,0.22,0.871,1,0.183380127,0.769012451,0.930755615,4,0.716959229
5,9,3,6,0.22,0.871,1,0.183380127,0.769012451,0.930755615,4,0.853091379
5,9,3,7,0.22,0.871,1,0.183380127,0.769012451,0.930755615,4,0.838717621
5,9,3,8,0.22,0.871,1,0.183380127,0.769012451,0.930755615,4,0.759742698
5,9,3,9,0.22,0.871,1,0.183380127,0.769012451,0.930755615,4,0.755251438
5,9,6,0,0.22,0.871,1,0.057098389,0.000457764,0.956390381,0,0.416572784
5,9,6,1,0.22,0.871,1,0.057098389,0.000457764,0.956390381,0,0.415640809
5,9,6,2,0.22,0.871,1,0.057098389,0.000457764,0.956390381,0,0.435308717
5,9,6,3,0.22,0.871,1,0.057098389,0.000457764,0.956390381,0,0.379746207
5,9,6,4,0.22,0.871,1,0.057098389,0.000457764,0.956390381,0,0.552489284
5,9,6,5,0.22,0.871,1,0.057098389,0.000457764,0.956390381,0,0.363101169
5,9,6,6,0.22,0.871,1,0.057098389,0.000457764,0.956390381,0,0.48325675
5,9,6,7,0.22,0.871,1,0.057098389,0.000457764,0.956390381,0,0.423530127
5,9,6,8,0.22,0.871,1,0.057098389,0.000457764,0.956390381,0,0.400082846
5,9,6,9,0.22,0.871,1,0.057098389,0.000457764,0.956390381,0,0.554310273
