learnerID,sitesVisited,step,pr(rr),pr(fr),pr(sr),randomNumber,nodeRecommendationID
1,4,1,0.238,0.877,1,0.093414,5
1,4,3,0.238,0.877,1,0.885406,8
2,8,6,0.201,0.881,1,0.849518,5
3,10,0,0.215,0.875,1,0.973297,5
3,10,2,0.215,0.875,1,0.597839,8
3,10,4,0.215,0.875,1,0.435425,2
3,10,6,0.215,0.875,1,0.760803,0
3,10,8,0.215,0.875,1,0.318451,4
4,13,0,0.229,0.865,1,0.666687,5
4,13,6,0.229,0.865,1,0.90863,2
4,13,9,0.229,0.865,1,0.643311,8
4,13,10,0.229,0.865,1,0.691101,7
5,9,0,0.22,0.871,1,0.900604,5
6,19,2,0.22,0.863,1,0.405487,5
6,19,8,0.22,0.863,1,0.064789,8
6,19,10,0.22,0.863,1,0.913544,2
6,19,13,0.22,0.863,1,0.010712,7
6,19,16,0.22,0.863,1,0.87439,0
7,8,0,0.209,0.866,1,0.828369,2
7,8,3,0.209,0.866,1,0.702332,0
7,8,6,0.209,0.866,1,0.41156,8
8,10,0,0.223,0.887,1,0.049255,7
8,10,8,0.223,0.887,1,0.730927,0
9,13,5,0.199,0.871,1,0.623138,7
10,7,1,0.2,0.876,1,0.337585,0
10,7,4,0.2,0.876,1,0.281891,7
10,7,5,0.2,0.876,1,0.684235,5
10,7,6,0.2,0.876,1,0.870087,9
12,19,0,0.221,0.877,1,0.125885,3
12,19,8,0.221,0.877,1,0.397064,1
12,19,9,0.221,0.877,1,0.594727,6
12,19,10,0.221,0.877,1,0.78363,5
12,19,14,0.221,0.877,1,0.615173,8
12,19,15,0.221,0.877,1,0.657898,2
13,8,3,0.232,0.87,1,0.558594,0
13,8,5,0.232,0.87,1,0.501251,4
13,8,7,0.232,0.87,1,0.910339,9
15,15,4,0.218,0.879,1,0.20993,4
15,15,10,0.218,0.879,1,0.384308,0
16,8,0,0.201,0.854,1,0.789764,0
16,8,7,0.201,0.854,1,0.768127,4
17,16,3,0.22,0.885,1,0.051544,4
17,16,4,0.22,0.885,1,0.245209,2
17,16,6,0.22,0.885,1,0.845551,6
17,16,9,0.22,0.885,1,0.81665,7
18,10,1,0.213,0.871,1,0.080688,1
18,10,5,0.213,0.871,1,0.160675,0
18,10,6,0.213,0.871,1,0.758087,3
